	D21BC	D21PT	D21R6	D21R7
DDX11L1	0	0	0	0
WASH7P	3	3	5	2
MIR6859-1	2	1	3	5
MIR1302-2HG	0	0	0	0
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4G4P	0	0	0	0
OR4G11P	0	0	0	0
OR4F5	0	0	0	0
AL627309.1	0	0	0	0
AL627309.3	0	0	0	0
CICP27	0	0	0	0
AL627309.6	0	1	0	0
AL627309.7	0	1	0	0
AL627309.2	0	0	0	0
AL627309.5	0	0	1	1
RNU6-1100P	0	0	0	0
AL627309.4	0	0	0	0
FO538757.2	0	0	0	0
FO538757.1	9	7	10	9
MIR6859-2	0	0	0	0
AP006222.1	6	7	3	2
RPL23AP24	0	0	0	0
AL732372.1	0	0	0	0
AL732372.2	3	4	2	3
WBP1LP7	0	0	0	0
OR4F29	0	0	0	0
CICP7	0	0	0	0
AL732372.3	0	0	0	0
RF00026	0	0	1	0
AL669831.3	6	4	9	5
AC114498.1	0	0	0	0
MTND1P23	0	0	0	0
MTND2P28	8	12	10	6
MTCO1P12	9	5	6	3
MIR6723	0	1	0	2
MTCO2P12	0	1	1	0
MTATP8P1	0	0	0	0
MTATP6P1	50	50	63	29
MTCO3P12	0	0	0	0
WBP1LP6	0	0	0	0
OR4F16	0	0	0	0
CICP3	0	0	0	1
AL669831.1	4	8	9	8
RNU6-1199P	0	0	0	0
AL669831.2	0	0	0	0
AL669831.5	5	14	10	6
AL669831.7	0	0	0	0
AL669831.4	0	1	1	1
FAM87B	12	19	51	22
LINC01128	46	71	101	77
LINC00115	11	16	12	12
FAM41C	0	0	0	0
TUBB8P11	0	0	0	0
AL669831.6	0	0	0	0
AL645608.7	2	3	0	3
AL645608.3	32	38	8	6
AL645608.5	0	0	0	0
AL645608.1	179	179	116	104
SAMD11	339	256	244	203
NOC2L	657	617	733	643
KLHL17	106	128	128	87
PLEKHN1	29	35	35	12
PERM1	7	7	7	5
AL645608.8	0	0	0	4
HES4	9	14	88	104
ISG15	30	20	8950	10552
AL645608.4	0	0	1	3
AL645608.2	0	0	2	1
AGRN	443	604	1927	2217
AL645608.6	0	0	0	0
AL390719.1	0	0	2	2
AL645608.9	0	0	0	0
RNF223	0	0	0	0
C1orf159	32	30	56	34
LINC01342	0	0	0	0
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
AL390719.2	0	0	1	0
TTLL10-AS1	0	0	0	0
TTLL10	1	0	0	0
TNFRSF18	8	11	7	8
TNFRSF4	7	12	9	17
SDF4	1990	1661	2767	2797
B3GALT6	156	161	229	187
C1QTNF12	8	13	15	13
AL162741.1	1	5	1	1
UBE2J2	145	159	199	150
LINC01786	2	6	5	12
SCNN1D	33	52	47	63
ACAP3	508	547	774	756
MIR6726	0	0	0	0
PUSL1	94	74	108	72
INTS11	327	382	447	412
MIR6727	0	0	0	0
AL139287.1	5	6	5	5
CPTP	46	56	96	91
TAS1R3	48	55	27	48
DVL1	993	952	947	746
MIR6808	0	0	0	0
MXRA8	1627	2142	2946	2969
AURKAIP1	300	243	365	236
NDUFB4P8	0	0	1	0
CCNL2	632	662	857	674
AL391244.1	171	150	199	214
MRPL20	293	239	433	336
RN7SL657P	0	0	0	0
AL391244.3	11	13	12	16
ANKRD65	29	43	83	75
AL391244.2	1	1	4	2
TMEM88B	0	0	1	0
LINC01770	8	14	7	9
VWA1	649	679	796	501
ATAD3C	1	4	2	6
ATAD3B	189	176	219	165
AL645728.2	4	1	9	10
ATAD3A	202	149	219	149
TMEM240	13	10	13	13
SSU72	309	273	441	325
