"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IFI6",25851.6261173745,6.96920583025465,0.249903551733124,27.8875821568842,3.77415704352253e-171,6.25868462527341e-167
"ISG15",4278.51612169425,8.21610062438623,0.296538715385842,27.7066709946991,5.8026162845443e-169,4.81123929232991e-165
"IFI44L",3283.09214081436,5.26484643652982,0.193609779875021,27.1930810516306,7.84157657231405e-163,4.33456214328946e-159
"MX1",4561.13458065052,9.20264397959989,0.349180053930523,26.355010476718,4.49671123883313e-153,1.86422406183924e-149
"IFIT1",3886.64515046936,9.27166831695017,0.371694555112946,24.9443210545089,2.46093909988786e-137,8.16195061868808e-134
"IFIT3",4605.5067312054,9.65171560671814,0.388308607346105,24.855785898445,2.23900663111943e-136,6.18824116064225e-133
"IFITM1",2359.5197152552,4.50922457432005,0.192297046331407,23.4492659161743,1.34489949165556e-121,3.18606689573201e-118
"OAS3",1377.81460112354,6.38257339554217,0.286643058608029,22.2666246534511,7.78490327939336e-110,1.61371313852725e-106
"OAS2",1019.88508692922,6.50624120494412,0.31364726800362,20.7438159635716,1.39414784008193e-95,2.56879484800873e-92
"LGALS3BP",4392.39864379982,3.83251261885882,0.185443495036666,20.6667406592022,6.90229746318924e-95,1.14460798832067e-91
"STAT1",3165.86103197589,3.6523335957573,0.185363436321283,19.7036355617991,2.00679096646668e-86,3.02532859971973e-83
"MX2",1072.64852929324,7.40489456937862,0.386003379076152,19.1834967535809,5.08432834061724e-82,7.02611807270465e-79
"LY6E",3845.97187169895,3.65478388168948,0.194036113699207,18.8355858711698,3.85833765023556e-79,4.92175486568125e-76
"IGFBP3",9638.7612035745,3.08155370216703,0.170141913655537,18.1116671134064,2.57821090956769e-73,3.05389082238293e-70
"SAMHD1",1137.72208594668,4.12068963050458,0.229018551231343,17.9928202687042,2.21777965842548e-72,2.45182933837798e-69
"PARP14",1016.54066238241,4.19840991903962,0.234386315635544,17.9123508454644,9.44604080829813e-72,9.79023092025049e-69
"DDX58",816.802829328878,4.70078940630474,0.270109414231177,17.4032786664796,7.79129667112077e-68,7.60018074689387e-65
"IFI44",784.959523221485,4.09597688301443,0.239601918530417,17.0949252332237,1.61903546856807e-65,1.4915813986258e-62
"DDX60",461.527411327994,5.62824111012909,0.332181637580166,16.943263785226,2.15811859168349e-64,1.88358318978354e-61
"PARP9",1027.49962770373,4.0400204194557,0.239036372836383,16.9012789623487,4.40253007986678e-64,3.65035781572154e-61
"HELZ2",1392.28720712071,4.10254102633653,0.243268623822834,16.8642423419318,8.24525939416326e-64,6.51100650159092e-61
"GPNMB",1193.58752322647,3.86194844454861,0.229672719241097,16.8150072734348,1.89469315604914e-63,1.42816802758013e-60
"PENK",2282.7826138681,-4.00065077219221,0.238810228383922,-16.752426390048,5.43630381260074e-63,3.91957504888513e-60
"IFIH1",494.951593300037,6.57179585483861,0.411234221723709,15.9806638350588,1.74280008703485e-57,1.20420224347079e-54
"AKR1C2",638.410543614139,4.09688337074144,0.257927634731495,15.8838480995118,8.19903048250957e-57,5.43858089965825e-54
"IFI27",668.66678905029,7.86321259199075,0.5024279418981,15.6504285217193,3.29989998996501e-55,2.10470159744576e-52
"PTH1R",3107.48250374503,-3.62555170877876,0.239327985014959,-15.1488832722682,7.70649463970174e-52,4.73321483741385e-49
"HERC6",653.948860762073,7.98268873760867,0.534059334187996,14.9471944905632,1.62450184963475e-50,9.62111220446178e-48
"FBXO32",1739.19952198398,2.74580759493505,0.18602438132183,14.7604715867039,2.63432334834981e-49,1.50637876157534e-46
"GBP1",372.361665985054,4.15652006497261,0.28614004213692,14.5261740857076,8.2712856426315e-48,4.57209099372527e-45
"B2M",14041.2135443152,2.72793312551377,0.190633586283452,14.3098243006226,1.89992722565762e-46,1.01633848977679e-43
"TUBB2B",573.739013183694,-3.49319512750745,0.244900436647207,-14.2637358076237,3.68203960817512e-46,1.908101963199e-43
"APOL6",543.401249310915,4.68050751111312,0.329260229215877,14.2152227806547,7.37164747359431e-46,3.70436454710953e-43
"APOL1",1481.34945786752,3.34091190649773,0.236552402731898,14.1233480104797,2.72720431892646e-45,1.33015380061051e-42
"IFIT2",2868.26805758301,8.5815610167574,0.611747546986971,14.0279451205387,1.05154491542553e-44,4.98221980928617e-42
"UBA7",509.02978272122,3.81254644092198,0.274354615876176,13.8964180673478,6.65914486028078e-44,3.06746108938989e-41
"DTX3L",618.767968771145,3.10957007531675,0.22549391289238,13.790039985695,2.92597707687859e-43,1.31139129367237e-40
"PLSCR1",472.445260357754,3.34824834745125,0.245207285589877,13.6547669837648,1.89093224708795e-42,8.25192880354199e-40
"IFI35",324.651314584208,4.88944623382917,0.360725477193631,13.5544799105071,7.453858498462e-42,3.16941885846142e-39
